year,subject,science_non-science,sex,total
2018,(E) Mass communications & documentation,Non-Science,Other,60
2013,(F) Languages,Non-Science,Female,81165
2013,(F) Languages,Non-Science,Male,36485
2013,(F) Languages,Non-Science,Other,10
2014,(F) Languages,Non-Science,Female,77375
2014,(F) Languages,Non-Science,Male,33945
2014,(F) Languages,Non-Science,Other,20
2015,(F) Languages,Non-Science,Female,76070
2015,(F) Languages,Non-Science,Male,32255
2015,(F) Languages,Non-Science,Other,35
2016,(F) Languages,Non-Science,Female,75615
2016,(F) Languages,Non-Science,Male,31365
2016,(F) Languages,Non-Science,Other,60
2017,(F) Languages,Non-Science,Female,73375
2017,(F) Languages,Non-Science,Male,30005
2017,(F) Languages,Non-Science,Other,165
2018,(F) Languages,Non-Science,Female,70780
2018,(F) Languages,Non-Science,Male,28330
2018,(F) Languages,Non-Science,Other,255
2013,(G) Historical & philosophical studies,Non-Science,Female,47655
2013,(G) Historical & philosophical studies,Non-Science,Male,41955
2013,(G) Historical & philosophical studies,Non-Science,Other,10
2014,(G) Historical & philosophical studies,Non-Science,Female,46070
2014,(G) Historical & philosophical studies,Non-Science,Male,40235
2014,(G) Historical & philosophical studies,Non-Science,Other,25
2015,(G) Historical & philosophical studies,Non-Science,Female,45750
2015,(G) Historical & philosophical studies,Non-Science,Male,39590
2015,(G) Historical & philosophical studies,Non-Science,Other,40
2016,(G) Historical & philosophical studies,Non-Science,Female,46260
2016,(G) Historical & philosophical studies,Non-Science,Male,39110
2016,(G) Historical & philosophical studies,Non-Science,Other,85
2017,(G) Historical & philosophical studies,Non-Science,Female,46055
2017,(G) Historical & philosophical studies,Non-Science,Male,37910
2017,(G) Historical & philosophical studies,Non-Science,Other,155
2018,(G) Historical & philosophical studies,Non-Science,Female,44930
2018,(G) Historical & philosophical studies,Non-Science,Male,36785
2018,(G) Historical & philosophical studies,Non-Science,Other,245
2013,(H) Creative arts & design,Non-Science,Female,106390
2013,(H) Creative arts & design,Non-Science,Male,62440
2013,(H) Creative arts & design,Non-Science,Other,30
2014,(H) Creative arts & design,Non-Science,Female,105840
2014,(H) Creative arts & design,Non-Science,Male,61030
2014,(H) Creative arts & design,Non-Science,Other,60
2015,(H) Creative arts & design,Non-Science,Female,108560
2015,(H) Creative arts & design,Non-Science,Male,61175
2015,(H) Creative arts & design,Non-Science,Other,90
2016,(H) Creative arts & design,Non-Science,Female,113275
2016,(H) Creative arts & design,Non-Science,Male,62235
2016,(H) Creative arts & design,Non-Science,Other,190
2017,(H) Creative arts & design,Non-Science,Female,115455
2017,(H) Creative arts & design,Non-Science,Male,62685
2017,(H) Creative arts & design,Non-Science,Other,275
2018,(H) Creative arts & design,Non-Science,Female,117860
2018,(H) Creative arts & design,Non-Science,Male,63530
2018,(H) Creative arts & design,Non-Science,Other,435
2013,(I) Education,Non-Science,Female,131450
2013,(I) Education,Non-Science,Male,41555
2013,(I) Education,Non-Science,Other,20
2014,(I) Education,Non-Science,Female,124960
2014,(I) Education,Non-Science,Male,39405
2014,(I) Education,Non-Science,Other,30
2015,(I) Education,Non-Science,Female,119220
2015,(I) Education,Non-Science,Male,36905
2015,(I) Education,Non-Science,Other,25
2016,(I) Education,Non-Science,Female,115560
2016,(I) Education,Non-Science,Male,35455
2016,(I) Education,Non-Science,Other,40
2017,(I) Education,Non-Science,Female,112490
2017,(I) Education,Non-Science,Male,32895
2017,(I) Education,Non-Science,Other,60
2018,(I) Education,Non-Science,Female,111050
2018,(I) Education,Non-Science,Male,31675
2018,(I) Education,Non-Science,Other,105
